ExCuSe,Dummy
5.0,185.0
5.5,185.5
4.0,186.0
6.5,186.5
3.0,187.0
7.5,187.5
2.0,188.0
18.5,188.5
32.0,189.0
18.939999999999998,188.94
18.879999999999995,188.88
61.19,188.81
18.75,188.75
28.689999999999998,188.69
38.620000000000005,188.62
58.56,188.56
48.5,188.5
48.5,188.5
28.5,188.5
28.5,188.5
38.5,188.5
28.5,188.5
28.5,188.5
58.5,188.5
38.5,188.5
38.629999999999995,188.63
28.75,188.75
38.870000000000005,188.87
39.0,189.0
39.129999999999995,189.13
29.25,189.25
49.370000000000005,189.37
59.5,189.5
49.19,189.19
1.1200000000000045,188.88
48.56,188.56
1.75,188.25
47.94,187.94
47.620000000000005,187.62
57.31,187.31
7.0,187.0
37.19,187.19
47.370000000000005,187.37
47.56,187.56
37.75,187.75
27.939999999999998,187.94
58.129999999999995,188.13
28.310000000000002,188.31
28.5,188.5
58.25,188.25
58.0,188.0
57.75,187.75
27.5,187.5
27.25,187.25
47.0,187.0
6.75,186.75
56.5,186.5
56.69,186.69
16.879999999999995,186.88
17.060000000000002,187.06
27.25,187.25
27.439999999999998,187.44
27.620000000000005,187.62
27.810000000000002,187.81
28.0,188.0
28.180000000000007,188.18
28.370000000000005,188.37
28.569999999999993,188.57
28.75,188.75
28.930000000000007,188.93
39.129999999999995,189.13
39.31999999999999,189.32
39.5,189.5
31.120000000000005,191.12
52.74000000000001,192.74
34.379999999999995,194.38
56.0,196.0
57.620000000000005,197.62
59.25999999999999,199.26
30.879999999999995,200.88
62.5,202.5
52.879999999999995,202.88
63.25,203.25
63.620000000000005,203.62
64.0,204.0
64.38,204.38
64.75,204.75
65.12,205.12
65.5,205.5
66.0,206.0
66.5,206.5
67.0,207.0
47.5,207.5
68.0,208.0
68.5,208.5
69.0,209.0
79.5,209.5
79.87,209.87
80.25,210.25
80.63,210.63
81.0,211.0
81.37,211.37
81.75,211.75
82.13,212.13
82.5,212.5
52.870000000000005,212.87
73.24000000000001,213.24
73.63,213.63
74.0,214.0
74.37,214.37
84.75999999999999,214.76
75.13,215.13
75.5,215.5
86.06,216.06
76.63,216.63
77.19,217.19
67.75,217.75
78.31,218.31
78.87,218.87
69.44,219.44
70.0,220.0
70.82,220.82
81.63,221.63
82.43,222.43
83.25,223.25
74.07,224.07
84.87,224.87
65.68,225.68
86.5,226.5
66.75,226.75
77.0,227.0
67.25,227.25
77.5,227.5
57.75,227.75
88.0,228.0
78.25,228.25
68.5,228.5
78.13,228.13
67.75999999999999,227.76
77.37,227.37
77.0,227.0
76.63,226.63
76.24000000000001,226.24
95.87,225.87
75.5,225.5
65.31,225.31
65.12,225.12
74.94,224.94
74.75,224.75
64.56,224.56
84.38,224.38
74.19,224.19
74.0,224.0
63.870000000000005,223.87
63.74000000000001,223.74
73.63,223.63
73.5,223.5
63.370000000000005,223.37
73.25999999999999,223.26
73.13,223.13
73.0,223.0
92.75,222.75
72.5,222.5
62.25,222.25
62.0,222.0
81.75,221.75
61.5,221.5
81.25,221.25
111.0,221.0
60.379999999999995,220.38
79.75999999999999,219.76
79.12,219.12
68.5,218.5
67.88,217.88
67.24000000000001,217.24
